Method,Metric,mean,std,min,max,count
AllSet Transformer,test_accuracy,0.9306930693069307,,0.9306930693069307,0.9306930693069307,1
AllSet Transformer,test_macro_f1,0.9304802017894537,,0.9304802017894537,0.9304802017894537,1
AllSet Transformer,test_roc_auc,0.9862680662627545,,0.9862680662627545,0.9862680662627545,1
DF-HGNN (Ours),test_accuracy,0.9356435643564357,,0.9356435643564357,0.9356435643564357,1
DF-HGNN (Ours),test_macro_f1,0.9355745199817365,,0.9355745199817365,0.9355745199817365,1
DF-HGNN (Ours),test_roc_auc,0.994434536013778,,0.994434536013778,0.994434536013778,1
HyperGCN,test_accuracy,0.8712871287128713,,0.8712871287128713,0.8712871287128713,1
HyperGCN,test_macro_f1,0.8718962849170552,,0.8718962849170552,0.8718962849170552,1
HyperGCN,test_roc_auc,0.9436016127433895,,0.9436016127433895,0.9436016127433895,1
UniGNN,test_accuracy,0.9108910891089109,,0.9108910891089109,0.9108910891089109,1
UniGNN,test_macro_f1,0.9103852927309538,,0.9103852927309538,0.9103852927309538,1
UniGNN,test_roc_auc,0.9801897139127522,,0.9801897139127522,0.9801897139127522,1
